Team ID , Team  , Region , Country , Track , Kind , Size , Status , Year
4744,Aachen,Europe,Germany,Bioremediation,Collegiate,29,Accepted,2023
4701,Aalto-Helsinki,Europe,Finland,Environment,Collegiate,12,Accepted,2023
4831,ABOA-Turku,Europe,Finland,Bioremediation,Collegiate,18,Accepted,2023
4586,AFCM-Egypt,Africa,Egypt,Therapeutics,Collegiate,24,Accepted,2023
4778,AFMU-China,Asia,China,Diagnostics,Collegiate,25,Accepted,2023
4808,AIS-China,Asia,China,High School,Commercial,25,Accepted,2023
4582,Aix-Marseille,Europe,France,Climate Crisis,Collegiate,10,Accepted,2023
4732,Alma,North America,United States,Bioremediation,Collegiate,5,Accepted,2023
4780,ANU-Australia,Asia,Australia,Bioremediation,Collegiate,10,Accepted,2023
4746,AshesiGhana,Africa,Ghana,Biomanufacturing,Collegiate,13,Accepted,2023
4738,ASIJ-Tokyo,Asia,Japan,High School,High_school,25,Accepted,2023
4895,ASU,North America,United States,Bioremediation,Collegiate,13,Accepted,2023
4810,Athens,Europe,Greece,Diagnostics,Collegiate,7,Accepted,2023
4579,Austin-UTexas,North America,United States,Agriculture,Collegiate,14,Accepted,2023
4714,BAID-China,Asia,China,High School,High_school,9,Accepted,2023
4962,Bangkok-NMH,Asia,Thailand,Software & AI,Collegiate,16,Accepted,2023
4770,Barcelona-UB,Europe,Spain,Bioremediation,Collegiate,16,Accepted,2023
4880,BASIS-China,Asia,China,High School,High_school,26,Accepted,2023
5004,BFSU-ICUnited,Asia,China,High School,Commercial,2,Accepted,2023
4799,BGI-MammothEdu-China,Asia,China,High School,Commercial,23,Accepted,2023
4717,BIBS-beijing-china,Asia,China,High School,High_school,8,Accepted,2023
4877,Bielefeld-CeBiTec,Europe,Germany,Therapeutics,Collegiate,15,Accepted,2023
4969,BilkenTR-UNAM,Europe,Turkey,Therapeutics,Collegiate,11,Accepted,2023
4804,Bioplus-China,Asia,China,High School,Commercial,20,Accepted,2023
4824,Bioplus-Shanghai,Asia,China,High School,Commercial,17,Accepted,2023
4691,BIT,Asia,China,Environment,Collegiate,9,Accepted,2023
4616,BIT-China,Asia,China,Biomanufacturing,Collegiate,25,Accepted,2023
4963,BITSPilani-Goa-India,Asia,India,Therapeutics,Collegiate,14,Accepted,2023
4722,BJEA-China,Asia,China,High School,High_school,10,Accepted,2023
4861,BJHS,Asia,China,High School,Commercial,12,Accepted,2023
4657,BJWZ-China,Asia,China,High School,High_school,13,Accepted,2023
4945,BJYUAN-CHINA,Asia,China,High School,High_school,13,Accepted,2023
4593,BNDS-China,Asia,China,High School,High_school,18,Accepted,2023
4623,BNU-China,Asia,China,Biomanufacturing,Collegiate,36,Accepted,2023
4737,BNUZH-China,Asia,China,Therapeutics,Collegiate,30,Accepted,2023
4700,BOKU-Vienna,Europe,Austria,Biomanufacturing,Collegiate,11,Accepted,2023
4816,Bonn-Rheinbach,Europe,Germany,Bioremediation,Collegiate,13,Accepted,2023
4708,BostonU-HW,North America,United States,Foundational Advance,Collegiate,11,Accepted,2023
4667,BPI-China,Asia,China,Diagnostics,Collegiate,20,Accepted,2023
4906,Brest,Europe,France,,Collegiate,1,Withdrawn,2023
4897,BS-United-China,Asia,China,High School,Commercial,32,Accepted,2023
4644,BUCT,Asia,China,Therapeutics,Collegiate,26,Accepted,2023
4612,BUCT-China,Asia,China,Diagnostics,Collegiate,35,Accepted,2023
4855,Bulgaria,Europe,Bulgaria,Environment,Collegiate,35,Accepted,2023
5024,BZK,Asia,China,High School,Commercial,13,Accepted,2023
4862,BZK-SH,Asia,China,High School,Commercial,24,Accepted,2023
4944,Calgary,North America,Canada,Therapeutics,Collegiate,16,Accepted,2023
4769,Cambridge,Europe,United Kingdom,Environment,Collegiate,18,Accepted,2023
4872,Canton-HS,Asia,China,High School,Commercial,3,Accepted,2023
4614,CAU-China,Asia,China,Biomanufacturing,Collegiate,23,Accepted,2023
4610,CCA-San-Diego,North America,United States,High School,High_school,12,Accepted,2023
4674,CCU-Taiwan,Asia,Taiwan,Diagnostics,Collegiate,36,Accepted,2023
4902,Chalmers-Gothenburg,Europe,Sweden,Food & Nutrition,Collegiate,12,Accepted,2023
4642,City-of-London-UK,Europe,United Kingdom,High School,High_school,36,Accepted,2023
4611,CJUH-JLU-China,Asia,China,Diagnostics,Collegiate,18,Accepted,2023
4740,CNAS-Romania,Europe,Romania,High School,High_school,10,Accepted,2023
5012,CollegiateRVA,North America,United States,High School,High_school,1,Accepted,2023
4684,Concordia-Montreal,North America,Canada,Diagnostics,Collegiate,27,Accepted,2023
4580,Cornell,North America,United States,Biomanufacturing,Collegiate,24,Accepted,2023
4990,CPU-CHINA,Asia,China,Therapeutics,Collegiate,24,Accepted,2023
5026,Crete,Europe,Unspecified,Conservation(P),Collegiate,1,Pending,2023
4618,CSMU-Taiwan,Asia,Taiwan,Bioremediation,Collegiate,14,Accepted,2023
4585,CSU-CHINA,Asia,China,Therapeutics,Collegiate,10,Accepted,2023
4919,CU-Boulder,North America,United States,Agriculture,Collegiate,8,Accepted,2023
4767,CUG-China,Asia,China,Environment,Collegiate,44,Accepted,2023
4587,DKU,Asia,China,Agriculture,Collegiate,17,Accepted,2023
4651,DNHS-SanDiego-CA,North America,United States,High School,High_school,13,Accepted,2023
4811,DTU-Denmark,Europe,Denmark,Environment,Collegiate,15,Accepted,2023
4706,Duesseldorf,Europe,Germany,Agriculture,Collegiate,28,Accepted,2023
4646,Duke,North America,United States,Therapeutics,Collegiate,13,Accepted,2023
4766,DUT-China,Asia,China,Diagnostics,Collegiate,4,Accepted,2023
4649,EastCoastBioCrew,North America,United States,High School,High_school,15,Accepted,2023
4849,Edinburgh,Europe,United Kingdom,Climate Crisis,Collegiate,16,Accepted,2023
4888,EPFL,Europe,Switzerland,Therapeutics,Collegiate,11,Accepted,2023
4917,Estonia-TUIT,Europe,Estonia,Conservation,Collegiate,10,Accepted,2023
4601,Evry-Paris-Saclay,Europe,France,Therapeutics,Collegiate,25,Accepted,2023
4572,Example,Europe,France,,Collegiate,21,Accepted,2023
4573,Example-HS,North America,United States,High School,High_school,7,Accepted,2023
4694,Exeter,Europe,United Kingdom,Therapeutics,Collegiate,20,Accepted,2023
4930,FAU-Erlangen,Europe,Germany,Diagnostics,Collegiate,21,Accepted,2023
4881,FDR-HBPeru,Latin America,Peru,High School,High_school,17,Accepted,2023
4604,Freiburg,Europe,Germany,Foundational Advance,Collegiate,18,Accepted,2023
4846,FSHS-GD,Asia,China,High School,Commercial,6,Accepted,2023
4680,FSU,North America,United States,Therapeutics,Collegiate,15,Accepted,2023
4765,Fudan,Asia,China,Environment,Collegiate,14,Accepted,2023
4870,Fujian-United,Asia,China,High School,Commercial,25,Accepted,2023
4688,FZPt-CHINA,Asia,China,Bioremediation,Collegiate,40,Accepted,2023
5005,GEC-CHINA,Asia,China,High School,Commercial,17,Accepted,2023
5001,GEC-Guangzhou,Asia,China,High School,Commercial,25,Accepted,2023
4852,GEMS-Taiwan,Asia,Taiwan,High School,Commercial,35,Accepted,2023
4736,GeorgiaState-SWJTU,North America,United States,Biomanufacturing,Collegiate,11,Accepted,2023
4715,Gifu,Asia,Japan,Foundational Advance,Collegiate,9,Accepted,2023
4825,GreatBay-SCIE,Asia,China,High School,High_school,24,Accepted,2023
4720,Groningen,Europe,Netherlands,Diagnostics,Collegiate,12,Accepted,2023
4660,GU-Frankfurt,Europe,Germany,Environment,Collegiate,11,Accepted,2023
4581,Guangxi-U-China,Asia,China,Therapeutics,Collegiate,39,Accepted,2023
4891,Guangzhou-MedX,Asia,China,High School,Commercial,20,Accepted,2023
4597,Guelph,North America,Canada,Food & Nutrition,Collegiate,54,Accepted,2023
4678,GXU-China,Asia,China,Biomanufacturing,Collegiate,31,Accepted,2023
4723,H14Z-AP,Asia,China,High School,High_school,12,Accepted,2023
4797,HainanU-China,Asia,China,Therapeutics,Collegiate,7,Accepted,2023
4669,Hamburg,Europe,Germany,Therapeutics,Collegiate,26,Accepted,2023
4883,Hangzhou-BioX,Asia,China,High School,Commercial,13,Accepted,2023
4882,Hangzhou-SDG,Asia,China,High School,Commercial,10,Accepted,2023
4999,Harvard,North America,United States,Foundational Advance,Collegiate,15,Accepted,2023
4687,HBUT-China,Asia,China,Foundational Advance,Collegiate,26,Accepted,2023
4757,Heidelberg,Europe,Germany,Bioremediation,Collegiate,23,Accepted,2023
4761,HiZJU-China,Asia,China,Therapeutics,Collegiate,23,Accepted,2023
4794,HK-Joint-School,Asia,Hong Kong,High School,High_school,48,Accepted,2023
4837,HK-SKHLPSS,Asia,Hong Kong,High School,High_school,7,Accepted,2023
4946,HKGTC,Asia,Hong Kong,High School,High_school,16,Accepted,2023
4774,HKPOLYU,Asia,Hong Kong,Therapeutics,Collegiate,24,Accepted,2023
4823,HKSSC,Asia,Hong Kong,High School,High_school,10,Accepted,2023
4696,HKU-HongKong,Asia,Hong Kong,Therapeutics,Collegiate,28,Accepted,2023
4725,HKUST,Asia,Hong Kong,Food & Nutrition,Collegiate,32,Accepted,2023
